feature,importance
bath_num,0.3826897031007628
idh_educacion,0.14736740092044417
m2_real,0.14469184586807093
provincia_mapped_balears,0.12603884989738248
poblacion_total,0.07186965286747614
m2_useful,0.027196478174271465
idh_renta,0.022935633167281345
idh,0.011929414862609025
room_bath_ratio,0.008239028485352773
proporcion_urbana,0.007317286842823978
total_empresas,0.006966596172338446
swimming_pool,0.006724086089185291
room_num,0.006293318838612086
provincia_mapped_girona,0.003060032134310515
house_type_ Casa o chalet,0.00262984605088322
air_conditioner,0.0024208900052650347
house_type_ Finca rústica,0.0021278300082894475
house_type_ Casa o chalet independiente,0.0020492578625614767
built_in_wardrobe,0.002019232454241162
storage_room,0.0015692329526576865
garden,0.0015679081557253057
balcony,0.0013465520089244775
terrace,0.0012225667917308168
has_outdoor,0.0011099046997139273
house_type_Piso,0.0010316632037092764
provincia_mapped_huelva,0.0009335914715956302
house_type_ Chalet adosado,0.0008401111578106346
chimney,0.0007938252971207338
house_type_ Castillo,0.0006954781429024049
lift,0.0006644058926565262
house_type_ Chalet pareado,0.0006020723879398911
house_type_ Masía,0.0004063398513642567
provincia_mapped_santa cruz de tenerife,0.00038575749658144315
house_type_Casa rural,0.00037311537316211843
house_type_Ático,0.00035787079971472975
idh_salud,0.00031957414375717233
house_type_ Casa rural,0.00018904005373575165
provincia_mapped_ciudad real,0.00018050324321274214
house_type_Dúplex,0.0001782491534151589
provincia_mapped_coruna,0.0001325415061778322
house_type_ Palacio,0.00010166006871167341
house_type_ Casa de pueblo,9.477650204335532e-05
provincia_mapped_sevilla,7.656204597211329e-05
provincia_mapped_tarragona,6.544872091946359e-05
provincia_mapped_madrid,5.492582237644392e-05
provincia_mapped_barcelona,3.787913081579869e-05
provincia_mapped_albacete,2.930474384477294e-05
provincia_mapped_alicante,1.7495625089289708e-05
provincia_mapped_segovia,1.677546877897891e-05
provincia_mapped_zamora,1.2164717807705676e-05
provincia_mapped_cadiz,8.198105960202469e-06
house_type_Estudio,5.857520561128944e-06
house_type_ Cortijo,5.303373434756304e-06
provincia_mapped_soria,3.12439754117658e-06
house_type_ Caserón,1.9569105204984885e-06
house_type_ Casa terrera,1.638767591842589e-06
house_type_Alquiler de Casa o chalet independiente,2.404922605333032e-07
house_type_Alquiler de Chalet pareado,0.0
house_type_Alquiler de Chalet adosado,0.0
house_type_Alquiler de Piso,0.0
house_type_ Torre,0.0
